<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20191101,38.8,38.9,37.3,37.7,39480
21STCENMGM,20191101,13.25,13.25,13.25,13.25,15
3IINFOTECH,20191101,2,2.05,1.95,2,2597619
3MINDIA,20191101,22497.5,22512.05,22100,22202.1,1793
3PLAND,20191101,6.2,6.2,6.2,6.2,1028
5PAISA,20191101,170.55,173,169.05,169.65,3624
63MOONS,20191101,122.05,123.8,119.1,119.8,104787
A2ZINFRA,20191101,8.95,10.7,8.7,10.7,1497561
AARTIDRUGS,20191101,540,545,529,532,6779
AARTIIND,20191101,881.95,881.95,870,877.4,53188
AARVEEDEN,20191101,14.45,14.95,13.9,14.1,8165
AAVAS,20191101,1607,1607,1573,1582.75,7173
ABAN,20191101,26.75,28.05,26.3,28,48916
ABB,20191101,1458.6,1480,1451.65,1458.85,74552
ABBOTINDIA,20191101,11750,11885.05,11597,11620.15,8388
ABCAPITAL,20191101,82.2,84.7,82.2,83,3673750
ABFRL,20191101,213.25,213.25,209.15,211,237461
ABSLNN50ET,20191101,283,292.44,277.7,287.62,1154
ACC,20191101,1573,1575.6,1528,1542.2,887153
ACCELYA,20191101,937,945,930.05,939.25,4526
ACE,20191101,82.05,83,81.6,82.8,102155
ADANIENT,20191101,199,202.4,196.2,200.45,3522957
ADANIGAS,20191101,147.45,148.4,146.8,146.85,381934
ADANIGREEN,20191101,90.25,91,88.1,89.95,937093
ADANIPORTS,20191101,396,397.25,387.85,389.75,3665336
ADANIPOWER,20191101,66.1,68.55,65.6,67.9,9822268
ADANITRANS,20191101,276.65,288,275.6,277.45,657420
ADFFOODS,20191101,294.85,304.7,282.05,299.55,94362
ADHUNIKIND,20191101,123.8,127.5,120.5,122.15,44270
ADLABS,20191101,2.6,2.6,2.6,2.6,8770
ADORWELD,20191101,316,326.8,316,319.45,3068
ADROITINFO,20191101,7.6,7.6,7.1,7.5,6240
ADSL,20191101,13.5,14.1,13.5,13.95,21600
ADVANIHOTR,20191101,57.15,59,56.4,57.65,2959
ADVENZYMES,20191101,185.65,192,183.05,189.45,148682
AEGISCHEM,20191101,172,175.25,171.15,172.2,104301
AFFLE,20191101,1398.45,1428,1385.1,1397.15,60715
AGARIND,20191101,118.8,119,112.15,114.95,21876
AGCNET,20191101,110.1,115.75,110.1,114.95,1160
AGRITECH,20191101,47.1,49.4,46.55,49,11372
AGROPHOS,20191101,116.2,116.6,116.15,116.25,345695
AHLEAST,20191101,186.5,186.9,176.1,184.9,396
AHLUCONT,20191101,315.95,347.6,305.1,309.55,91202
AHLWEST,20191101,275.05,285.35,265,275.45,1274
AIAENG,20191101,1715.75,1740,1672.05,1679.85,15833
AIONJSW,20191101,10,10.2,9.9,9.9,287195
AIRAN,20191101,13,13.25,12.5,12.95,36597
AJANTPHARM,20191101,1050,1074.95,1040.7,1062.8,50455
AJMERA,20191101,123,123.7,120.3,121.15,21968
AKASH,20191101,65,65.2,63,63,2300
AKSHARCHEM,20191101,220.15,224.9,216.7,218.15,3705
AKSHOPTFBR,20191101,7.4,7.55,7.35,7.55,168799
AKZOINDIA,20191101,2143,2143,2072,2090.1,8270
ALANKIT,20191101,15.2,15.8,15,15.8,141116
ALBERTDAVD,20191101,403.8,418,392.1,410.45,17649
ALBK,20191101,26.8,27.75,26.5,27.3,1458180
ALCHEM,20191101,0.8,0.85,0.75,0.75,9930
ALEMBICLTD,20191101,52.15,54.75,51.35,53.8,257279
ALICON,20191101,400,400,390.5,398.65,3143
ALKALI,20191101,44.3,47,44,45.8,3348
ALKEM,20191101,2013.4,2013.4,1985,2000.15,53263
ALKYLAMINE,20191101,878.25,894.7,865,869.55,4656
ALLCARGO,20191101,103.85,104.85,103,103.85,120664
ALLSEC,20191101,305,305,295.1,298.05,559
ALMONDZ,20191101,10,10,9.55,10,826
ALOKTEXT,20191101,1.55,1.55,1.55,1.55,569301
ALPA,20191101,14.5,17.25,14.45,17.25,138431
ALPHAGEO,20191101,193,193,188.1,189.25,7506
ALPSINDUS,20191101,0.35,0.45,0.35,0.4,17174
AMARAJABAT,20191101,686,695.7,678.55,689.75,438764
AMBER,20191101,1053.65,1055,1011.1,1022.65,36853
AMBIKCO,20191101,900,917.15,890.45,909.7,3519
AMBUJACEM,20191101,203,204,199.8,201.6,2770430
AMDIND,20191101,14.5,15.8,14.5,15.4,3596
AMJLAND,20191101,18,19.15,17.95,18.15,15291
AMRUTANJAN,20191101,432.9,432.9,420.3,424.25,22576
ANANTRAJ,20191101,31.85,32.3,31.15,31.8,105779
ANDHRABANK,20191101,17.9,18.65,17.7,18.2,1438380
ANDHRACEMT,20191101,2.45,2.45,2.3,2.35,42719
ANDHRSUGAR,20191101,274.8,281.35,272,274.25,49499
ANIKINDS,20191101,7.5,7.5,7.5,7.5,2498
ANKITMETAL,20191101,0.45,0.5,0.45,0.5,8945
ANSALAPI,20191101,4.6,4.6,4.25,4.45,44817
ANSALHSG,20191101,5.2,5.3,4.95,5.2,42935
ANTGRAPHIC,20191101,0.65,0.7,0.65,0.7,9394
ANUP,20191101,485.2,487.45,475.05,483.4,12394
APARINDS,20191101,525,531.8,506.9,512.55,12258
APCL,20191101,150.9,152.9,146.65,147.75,2160
APCOTEXIND,20191101,166.35,169,164.25,165.15,40184
APEX,20191101,233.9,240.25,227.45,232.2,45862
APLAPOLLO,20191101,1497,1500,1455.3,1481.15,8220
APLLTD,20191101,550,581.9,546,570.7,423092
APOLLO,20191101,72.35,81.55,72,79.45,119486
APOLLOHOSP,20191101,1492.8,1508,1450.1,1460,551152
APOLLOTYRE,20191101,191.4,196.75,188.1,189.2,4995111
APOLSINHOT,20191101,795,795,771,788.15,950
APTECHT,20191101,176,178.4,170.6,171.65,234690
ARCHIDPLY,20191101,28,29,26.5,28.3,12481
ARCHIES,20191101,18.5,18.7,18.25,18.6,15529
ARCOTECH,20191101,1.8,1.8,1.8,1.8,8360
ARIES,20191101,64.35,65.8,62.85,63.9,16165
ARIHANT,20191101,17,18.5,16.3,18.1,3174
ARIHANTSUP,20191101,23.85,25.8,23.75,24.6,789
ARMANFIN,20191101,543.9,543.9,515.1,520.5,4028
AROGRANITE,20191101,42.35,42.6,40.9,41.95,4530
ARROWGREEN,20191101,52.95,53.05,51.65,53,7534
ARROWTEX,20191101,10.75,10.75,9.6,9.95,2250
ARSHIYA,20191101,17.45,18.2,17.45,17.85,18191
ARSSINFRA,20191101,23.85,25.8,23.5,25.4,34412
ARVIND,20191101,50.3,54,50.1,53.5,2364346
ARVINDFASN,20191101,454.05,454.05,439.6,441.3,14794
ARVSMART,20191101,102.4,105,100,102.5,12535
ASAHIINDIA,20191101,211.95,211.95,201.7,207.4,21256
ASAHISONG,20191101,155.6,158,151,156.7,4814
ASAL,20191101,35.05,37,34.05,34.95,11129
ASHAPURMIN,20191101,32.8,32.8,30.4,31.5,22119
ASHIANA,20191101,95.35,97.6,95.25,97.35,32394
ASHIMASYN,20191101,8.15,8.5,8,8,39307
ASHOKA,20191101,103.25,104.15,101.45,101.9,238975
ASHOKLEY,20191101,76.75,77.45,75.2,75.95,24861078
ASIANHOTNR,20191101,100.5,104.05,98.1,99.2,393
ASIANPAINT,20191101,1816,1821,1762,1766.35,1527660
ASIANTILES,20191101,234,241.45,233.1,236.3,21469
ASPINWALL,20191101,144,148.95,144,146,2457
ASTEC,20191101,361,374,355.5,361.65,14434
ASTERDM,20191101,138,147,135.55,141.55,508429
ASTRAL,20191101,1133,1133,1112,1116.6,80249
ASTRAMICRO,20191101,79.75,79.75,76.7,77.2,69454
ASTRAZEN,20191101,2717.9,2743.95,2681.2,2700.95,10933
ASTRON,20191101,48.4,48.4,48.4,48.4,77391
ATFL,20191101,666,666,629.1,636.35,17782
ATLANTA,20191101,7.05,7.05,6.8,6.85,14395
ATUL,20191101,4320,4348.95,4274,4332.4,12649
ATULAUTO,20191101,235,236,228,229.15,27634
AUBANK,20191101,690,695,666.05,688.4,477756
AURIONPRO,20191101,73.1,75.85,72.1,74.45,7954
AUROPHARMA,20191101,472.4,482.9,467.5,480.5,2983662
AUSOMENT,20191101,27.15,29.65,26.1,27.55,2687
AUTOAXLES,20191101,978,980,949,955.2,6236
AUTOIND,20191101,24.5,24.5,24,24.4,15152
AUTOLITIND,20191101,22.45,22.7,20.5,22.05,22243
AVADHSUGAR,20191101,307,319.65,304.6,306.8,415712
AVANTIFEED,20191101,454.9,455.75,441.75,451,215498
AVTNPL,20191101,25.85,25.85,24.6,24.8,32232
AXISBANK,20191101,736,750,728.1,748.3,8484197
AXISCADES,20191101,67.7,72.6,61.35,70.35,187144
AXISGOLD,20191101,3398,3414,3390.35,3398.7,386
AXISNIFTY,20191101,1230.36,1230.36,1219.08,1227.1,64
AYMSYNTEX,20191101,33.7,33.9,32.5,32.55,3544
BAGFILMS,20191101,1.75,1.85,1.75,1.75,211896
BAJAJ-AUTO,20191101,3250,3289,3190,3232.65,748062
BAJAJCON,20191101,252.05,252.25,245.75,248.55,188399
BAJAJELEC,20191101,380.7,380.7,375,376,59315
BAJAJFINSV,20191101,8168,8429,8110.5,8384.75,656439
BAJAJHIND,20191101,6.4,6.95,6.4,6.8,2630448
BAJAJHLDNG,20191101,3668.95,3738.1,3668.95,3698.2,55997
BAJFINANCE,20191101,4029,4110,4021,4069.85,1875612
BALAJITELE,20191101,54.25,55.6,52.95,55.05,80049
BALAMINES,20191101,323,327.5,319.1,321.6,12472
BALAXI,20191101,83.55,83.55,77,77.35,156
BALKRISHNA,20191101,19,19.75,19,19.45,18797
BALKRISIND,20191101,881,899.8,867.6,872.8,486874
BALLARPUR,20191101,0.5,0.5,0.45,0.5,1032830
BALMLAWRIE,20191101,198,200.9,195.5,197.25,98679
BALPHARMA,20191101,39.45,43.45,39.4,42.7,24780
BALRAMCHIN,20191101,164.6,170.35,163,164.5,1924934
BANARBEADS,20191101,35.25,37,34.35,37,5811
BANARISUG,20191101,1197,1220,1169,1208.7,919
BANCOINDIA,20191101,116.55,120.05,113.65,115.45,79593
BANDHANBNK,20191101,616.95,618.9,594.2,599,1740679
BANG,20191101,20.45,20.8,18.2,19.95,8700
BANKBARODA,20191101,97.5,100.95,96.9,100,39869804
BANKBEES,20191101,3050,3098,3050,3091.45,14935
BANKINDIA,20191101,71.5,75.55,70.4,71,40226962
BANSWRAS,20191101,67.05,69.1,65.7,66.75,4257
BARTRONICS,20191101,1.3,1.35,1.3,1.35,2877
BASF,20191101,1013,1020.8,990,996.3,17704
BASML,20191101,164.75,169.4,145.55,150.55,2893
BATAINDIA,20191101,1802,1810.15,1732.9,1741.25,841640
BAYERCROP,20191101,3630,3820,3613.8,3732,21084
BBL,20191101,842,880.05,842,860.35,13591
BBTC,20191101,1190,1241.35,1176,1216.65,329755
BCG,20191101,2.75,2.85,2.65,2.75,377645
BCP,20191101,7.8,7.8,7.7,7.8,54225
BDL,20191101,328,343.1,326.95,331.55,82636
BEARDSELL,20191101,12.4,12.4,10.65,11,1838
BEDMUTHA,20191101,12,12,9.4,11.3,108202
BEL,20191101,118.8,121.75,118.1,120.4,8565591
BEML,20191101,1029.95,1060,1025,1046.45,564134
BEPL,20191101,54.9,56.7,52.65,53.05,708139
BERGEPAINT,20191101,518.95,527.65,502.65,508.5,3824378
BFINVEST,20191101,331.1,377,330.15,356.45,1114311
BFUTILITIE,20191101,271.9,295.5,270.25,295.5,878823
BGLOBAL,20191101,2.1,2.1,1.95,2.1,9872
BGRENERGY,20191101,33,34,33,33.7,85962
BHAGERIA,20191101,112.8,115,109.05,112.95,12926
BHAGYANGR,20191101,19.4,19.6,19.05,19.15,1720
BHAGYAPROP,20191101,20,21.6,19.5,19.85,1477
BHANDARI,20191101,1.1,1.25,1.1,1.25,208098
BHARATFORG,20191101,451.95,460,448.1,458.75,1033117
BHARATGEAR,20191101,73.05,79.6,72.45,77,55613
BHARATRAS,20191101,5800,5835,5660,5758.35,1045
BHARATWIRE,20191101,33.65,34.4,32.05,32.65,30625
BHARTIARTL,20191101,363.35,376.4,363.35,373.05,13682012
BHEL,20191101,57,57.7,56.15,56.9,19538180
BIGBLOC,20191101,24,25.9,23,24.95,440
BIL,20191101,136.4,143.2,136.35,142.95,2546
BILENERGY,20191101,1.15,1.15,1.15,1.15,6030
BINDALAGRO,20191101,10.25,11,10.25,10.8,23421
BIOCON,20191101,246.75,248.5,243,246.25,3805645
BIOFILCHEM,20191101,4.45,4.65,4.25,4.6,4386
BIRLACABLE,20191101,57.95,64,55,60.4,399830
BIRLACORPN,20191101,573.65,591,568.8,582.55,87777
BIRLAMONEY,20191101,36.95,37.5,35.6,36,371312
BKMINDST,20191101,0.95,0.95,0.85,0.85,13473
BLBLIMITED,20191101,3.55,3.6,3.45,3.5,32856
BLISSGVS,20191101,136.95,145,136.45,141.95,291214
BLKASHYAP,20191101,8.1,8.5,8.1,8.5,77975
BLS,20191101,76.95,76.95,72.5,73.7,13816
BLUEBLENDS,20191101,0.9,0.9,0.85,0.85,2790
BLUECOAST,20191101,1.55,1.55,1.55,1.55,1093
BLUEDART,20191101,2449.95,2463,2365.55,2388.05,22505
BLUESTARCO,20191101,847.95,852,816.25,821.45,34394
BODALCHEM,20191101,76.1,77.7,75.1,75.7,131918
BOMDYEING,20191101,81.75,87.6,80.6,85.55,5292709
BOROSIL,20191101,176,181.7,176,178.85,84879
BOSCHLTD,20191101,15302,15537.15,15252.95,15327.05,15871
BPCL,20191101,520.05,525.8,516,519.4,5061143
BPL,20191101,19.65,19.65,18.95,19.25,71495
BRFL,20191101,3.65,3.8,3.6,3.8,34493
