Company Name,old_fv,new_fv,date,code
Shree Digvijay,100,10,24-11-1995,SHREDIGCEM
Bombay Burmah,100,10,16-11-1995,BBTC
West Coast Pap,100,10,18-07-1995,WSTCSTPAPR
Cellulose Prods,100,10,15-06-1995,NA
Tata Hydro,100,10,23-05-1995,TATAHYDRO
Andhra Valley,100,10,23-05-1995,ANDRAVALLY
Tata Power,100,10,22-05-1995,TATAPOWER
Mangal Credit,100,10,23-03-1995,NA
NOCIL,100,10,10-03-1995,NOCIL
Killick Nixon,100,10,09-03-1995,NA
Bajaj Electric,100,10,20-01-1995,BAJAJELEC
Cabot India,100,10,10-12-1996,CABOTINDIA
KFA Corporation,100,10,20-08-1996,NA
Permanent Magne,100,10,16-05-1996,PERMAGNET
Industrial Inv,100,10,09-04-1996,IITL
Baroda Electric,100,10,05-02-1996,NA
Lakshmi Finance,100,10,01-01-1996,LFIC
Baroda Rayon,100,10,13-02-1997,BARODARAYN
Zee Entertain,10,1,06-12-1999,ZEEL
Wipro,10,2,27-09-1999,WIPRO
Datapro Info,10,2,25-12-2000,DATAPROINF
Jenson Nicholso,10,2,04-12-2000,JENSONICOL
Dabur India,10,1,27-11-2000,DABUR
HCL Tech,4,2,27-11-2000,HCLTECH
Cummins,10,2,20-11-2000,CUMMINSIND
JIK Industries,10,1,13-11-2000,JIKIND
Morepen Lab,10,2,07-11-2000,MOREPENLAB
Novartis India,10,5,06-11-2000,NOVARTIND
Mastek,10,5,26-10-2000,MASTEK
Moh Granites,10,1,03-10-2000,NA
Cyberspace Info,10,2,26-09-2000,CYBERSPACE
Socrus Bio Scie,10,1,25-09-2000,NA
Sonata,10,1,25-09-2000,SONATSOFTW
Sterlite Ind,10,5,25-09-2000,STER
PharmaciaHealth,10,5,25-09-2000,PHARMACIA
Pan India Corp,10,1,18-09-2000,SRGINFOTEC
Kennametal,100,10,18-09-2000,KENNAMET
Flextronics,10,5,11-09-2000,FSS
Vatsa Corp,10,1,30-08-2000,VATSALTD
Jayant Agro-Org,10,5,21-08-2000,JAYAGROGN
Eskay Knit,10,4,21-08-2000,SHREEKRPET
Mahindra Satyam,10,2,07-08-2000,SATYAMCOMP
Elgi Equipments,10,1,02-08-2000,ELGIEQUIP
HUL,10,1,03-07-2000,HINDUNILVR
Information Tec,10,5,19-06-2000,ITIL
Computech Inter,10,5,15-05-2000,COMPUTECH
Vatsa Music,10,1,10-05-2000,VATSMUSC
BLB,10,1,02-05-2000,BLBLIMITED
Dolat Investmen,10,1,02-05-2000,DOLAT
Polaris Consult,10,5,02-05-2000,POLARIS
Infosys,10,5,24-01-2000,INFY
Socrus Bio Scie,1,10,10-12-2001,NA
